CPUs: 192
Tuning rounds (3x grid): [5, 1, 2]

============================================================
R5: settle_rate=0.119, 5 seeds
============================================================
150000 combos x 5 seeds x 30 MC (coarse)
  [   384/150000] 0%  8s  ETA 3132s  best=71.5
  [   768/150000] 1%  14s  ETA 2707s  best=71.5
  [  1152/150000] 1%  20s  ETA 2577s  best=71.5
  [  1536/150000] 1%  26s  ETA 2483s  best=71.5
  [  1920/150000] 1%  31s  ETA 2396s  best=71.5
  [  2304/150000] 2%  36s  ETA 2325s  best=71.5
  [  2688/150000] 2%  41s  ETA 2273s  best=71.5
  [  3072/150000] 2%  47s  ETA 2226s  best=71.5
  [  3456/150000] 2%  52s  ETA 2188s  best=71.5
  [  3840/150000] 3%  57s  ETA 2156s  best=71.5
  [  4224/150000] 3%  62s  ETA 2126s  best=71.5
  [  4608/150000] 3%  67s  ETA 2104s  best=71.5
  [  4992/150000] 3%  72s  ETA 2083s  best=71.5
  [  5376/150000] 4%  77s  ETA 2060s  best=71.5
  [  5760/150000] 4%  81s  ETA 2041s  best=71.5
  [  6144/150000] 4%  86s  ETA 2023s  best=71.5
  [  6528/150000] 4%  91s  ETA 2009s  best=71.5
  [  6912/150000] 5%  96s  ETA 1992s  best=71.5
  [  7296/150000] 5%  101s  ETA 1976s  best=71.5
  [  7680/150000] 5%  106s  ETA 1959s  best=71.7
  [  8064/150000] 5%  110s  ETA 1944s  best=71.7
  [  8448/150000] 6%  115s  ETA 1931s  best=71.7
  [  8832/150000] 6%  120s  ETA 1920s  best=71.7
  [  9216/150000] 6%  125s  ETA 1904s  best=71.7
  [  9600/150000] 6%  129s  ETA 1893s  best=71.7
  [  9984/150000] 7%  134s  ETA 1880s  best=71.7
  [ 10368/150000] 7%  139s  ETA 1872s  best=71.7
  [ 10752/150000] 7%  144s  ETA 1860s  best=71.7
  [ 11136/150000] 7%  148s  ETA 1849s  best=71.7
  [ 11520/150000] 8%  153s  ETA 1840s  best=71.7
  [ 11904/150000] 8%  158s  ETA 1831s  best=71.7
  [ 12288/150000] 8%  163s  ETA 1822s  best=71.7
  [ 12672/150000] 8%  167s  ETA 1813s  best=71.7
  [ 13056/150000] 9%  172s  ETA 1804s  best=71.7
  [ 13440/150000] 9%  177s  ETA 1795s  best=71.7
  [ 13824/150000] 9%  182s  ETA 1788s  best=71.7
  [ 14208/150000] 9%  186s  ETA 1780s  best=71.7
  [ 14592/150000] 10%  191s  ETA 1772s  best=71.7
  [ 14976/150000] 10%  196s  ETA 1766s  best=71.7
  [ 15360/150000] 10%  201s  ETA 1758s  best=71.7
  [ 15744/150000] 10%  205s  ETA 1751s  best=71.7
  [ 16128/150000] 11%  210s  ETA 1741s  best=71.7
  [ 16512/150000] 11%  215s  ETA 1735s  best=71.7
  [ 16896/150000] 11%  219s  ETA 1729s  best=71.7
  [ 17280/150000] 12%  224s  ETA 1722s  best=71.7
  [ 17664/150000] 12%  229s  ETA 1716s  best=71.7
  [ 18048/150000] 12%  234s  ETA 1710s  best=71.7
  [ 18432/150000] 12%  239s  ETA 1703s  best=71.7
  [ 18816/150000] 13%  243s  ETA 1695s  best=71.7
  [ 19200/150000] 13%  248s  ETA 1689s  best=71.7
